年份,项目编号,基地名称(申办单位),基地负责人,联系电话,项目名称,项目负责人,联系电话,举办期限起止日期,举办地点,授予学员学分,教学对象,拟招生人数,备注
2010,J13-10-18 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,全国肿瘤登记技术培训,赵平,010-87788656,"2010-04-10-2010-04-12
		3.0天",北京,6分,相关专业的继续教育对象,60,
2010,J13-10-35 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤登记年会,赵平,010-87788656,"2010-07-05-2010-07-07
		3.0天",北京,6分,相关专业的继续教育对象,80,
2010,J51-10-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,Epi Info流行病学统计分析软件应用培训班,陶庄,010-58900421,"2010-08-24-2010-08-30
		7.0天",江西省南昌市,10分,相关专业的继续教育对象,40,
2010,J51-10-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,美沙酮维持治专业人员培训,吴尊友,010-63165758,"2010-06-01-2010-06-10
		10.0天/期
		
		
查看多期举办时间地点",云南省昆明市（国家级美沙酮维持治疗培训中心）,10分/期,相关专业的继续教育对象,100/期,
2010,J51-10-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,第三届媒介生物可持续控制国际论坛,刘起勇,010-61731296,"2010-10-28-2010-11-01
		5.0天",浙江杭州,10分,相关专业的继续教育对象,150,
2010,J51-10-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,基层专业人员寄生虫病理论和防治技术培训班,周晓农,021-64377008,"2010-06-06-2010-06-09
		3.5天",上海,7分,相关专业的继续教育对象,40,
2010,J51-10-07 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,寄生虫病防治信息管理系统启动培训班,周晓农,021-64277008,"2010-04-06-2010-04-09
		3.5天",上海,7分,相关专业的继续教育对象,45,
2010,J51-10-09 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,阚坚力,010-58900524,"2010-05-11-2010-05-14
		4.0天",山西省太原市,8分,相关专业的继续教育对象,50,
2010,J51-10-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,现场流行病学与疾病预防控制技能更新培训班,曾光,63033030,"2010-11-09-2010-11-12
		4.0天",长沙,8分,相关专业的继续教育对象,150,
2010,J51-10-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国疾控系统病原微生物运输培训班,武桂珍,58900338,"2010-04-13-2010-04-16
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,80/期,
2010,J51-10-12 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病原微生物实验室生物安全培训班,武桂珍,58900338,"2010-07-20-2010-07-23
		4.0天",北京,8分,相关专业的继续教育对象,85,
2010,J51-10-13 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-63550268,病毒性出血热检测与监测培训,李德新,010-63554910,"2010-08-09-2010-08-12
		4.0天",西安,8分,相关专业的继续教育对象,60,
2010,J51-10-15 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,哨点医院流感监测培训班,舒跃龙,010-63577499、58900850,"2010-07-20-2010-07-21
		2.0天",南京,4分,相关专业的继续教育对象,600,
2011,J13-11-25 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,全国肿瘤登记学术年会,赵平,87788656,"2011-04-18-2011-04-20
		3.0天",北京,6分,相关专业的继续教育对象,80,
2011,J13-11-26 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,全国肿瘤预防与控制实践培训班,乔友林,87788489,"2011-06-14-2011-06-19
		6.0天",北京,10分,相关专业的继续教育对象,68,
2011,J13-11-30 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,全国肿瘤登记技术培训班,赵平,87788656,"2011-09-12-2011-09-14
		3.0天",北京,6分,相关专业的继续教育对象,100,
2011,J51-11-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-5890319,美沙酮维持治专业人员培训,吴尊友,010-58900951,"2011-06-13-2011-06-24
		12.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,40/期,
2011,J51-11-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,现场流行病学与疾病预防控制知识更新培训班,曾光,63033030,"2011-11-15-2011-11-18
		4.0天",江苏苏州市,8分,相关专业的继续教育对象,200,
2011,J51-11-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国艾滋病信息通讯员培训,吕繁,"5,890,094,158,900,940","2011-07-20-2011-07-22
		3.0天",山东,6分,相关专业的继续教育对象,100,
2011,J51-11-04 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国艾滋病哨点监测实施方案培训班,王璐,010-58900958,"2011-03-23-2011-03-25
		3.0天/期
		
		
查看多期举办时间地点",广东广州市,6分/期,相关专业的继续教育对象,150/期,
2011,J51-11-05 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,艾滋病疫情网络直报工作培训班,王璐,010-58900958,"2011-08-10-2011-08-12
		3.0天/期
		
		
查看多期举办时间地点",江苏南京市,6分/期,相关专业的继续教育对象,100/期,
2011,J51-11-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国疾控系统病原微生物运输培训班,武桂珍,58900338,"2011-04-12-2011-04-15
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,100/期,
2011,J51-11-07 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病原微生物实验室生物安全培训班,武桂珍,58900338,"2011-08-16-2011-08-19
		4.0天",北京,8分,相关专业的继续教育对象,85,
2011,J51-11-08 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,阚坚力,010-58900525,"2011-05-10-2011-05-13
		4.0天",贵州贵阳市,8分,相关专业的继续教育对象,60,
2011,J51-11-09 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,西藏林芝地区旋毛虫病诊治技术培训班,陈颖丹,021-64739075,"2011-07-10-2011-07-13
		4.0天",西藏林芝,8分,相关专业的继续教育对象,30,
2011,J51-11-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病媒生物监测网络系统使用及重要病媒生物分类技术培训,刘起勇,010-58900738,"2011-04-07-2011-04-11
		5.0天",北京,10分,相关专业的继续教育对象,120,
2011,J51-11-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,重要病媒生物抗药性监测技术培训班,刘起勇,010-58900741,"2011-05-05-2011-05-10
		6.0天",北京,10分,相关专业的继续教育对象,60,
2011,J51-11-12 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国布鲁氏菌病检测技术培训班,崔步云,010-58900768 13121738853,"2011-03-24-2011-03-31
		8.0天",北京,10分,相关专业的继续教育对象,60,
2012,J13-12-02 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,中国护士远程戒烟课程学习班,邹小农,010-87788817,"2012-04-01-2012-04-02
		2.0天",北京,4分,相关专业的继续教育对象,200,
2012,J13-12-03 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,全国肿瘤预防与控制实践培训班,乔友林,87788489,"2012-04-20-2012-04-24
		5.0天/期
		
		
查看多期举办时间地点",北京,10分/期,相关专业的继续教育对象,50/期,
2012,J13-12-08 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,肿瘤登记年会,陈万青,87787039,"2012-10-23-2012-10-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2012,J13-12-09 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,全国肿瘤登记技术方法及编码培训班,陈万青,87787039,"2012-04-01-2012-04-03
		3.0天",北京,6分,相关专业的继续教育对象,80,
2012,J14-12-19 (国),中国医学科学院阜外心血管病医院心内科,杨跃进,010-88398080,临床试验方法与应用,李卫,010-88398106,"2012-04-14-2012-04-15
		2.0天/期
		
		
查看多期举办时间地点",广东深圳市,4分/期,相关专业的继续教育对象,50/期,
2012,J51-12-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,美沙酮维持治疗专业人员培训班,吴尊友,010-5890001,"2012-05-15-2012-05-24
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,50/期,
2012,J51-12-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,美沙酮门诊干预技能及丙肝防治知识培训班,吴尊友,010-58900001,"2012-03-14-2012-03-16
		3.0天/期
		
		
查看多期举办时间地点",四川,6分/期,相关专业的继续教育对象,60/期,
2012,J51-12-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病原微生物实验室生物安全培训班,武桂珍,58900338,"2012-06-19-2012-06-22
		4.0天",北京,8分,相关专业的继续教育对象,120,
2012,J51-12-04 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国疾控系统病源微生物运输培训班,武桂珍,010-58900338,"2012-04-16-2012-04-19
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,100/期,
2012,J51-12-05 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,贝类、淡水螺类和鱼类所致的寄生虫病诊断技术培训班,陈家旭,13818574462,"2012-08-18-2012-08-20
		3.0天",云南,6分,相关专业的继续教育对象,40,
2012,J51-12-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,现场流行病学与疾病预防控制知识更新培训班,曾光,63033030,"2012-11-13-2012-11-16
		4.0天",福建厦门市,8分,相关专业的继续教育对象,200,
2012,J51-12-07 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900188,2012年全国手足口病监测实验室网络研讨会,许文波,010-58900187,"2012-09-03-2012-09-07
		5.0天",北京,10分,相关专业的继续教育对象,50,
2012,J51-12-08 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国乙脑监测和实验室检测培训班,李艺星,010-83159521,"2012-06-26-2012-06-28
		3.0天",甘肃兰州市,6分,相关专业的继续教育对象,75,
2012,J51-12-09 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国流脑监测和实验室检测培训班,李艺星,010-83159521,"2012-07-25-2012-07-27
		3.0天",河南郑州市,6分,相关专业的继续教育对象,80,
2012,J51-12-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900418,重大突发公共卫生事件应对处置信息支撑技术培训班,马家奇,58900418,"2012-04-15-2012-04-24
		9.5天",广东深圳市,10分,相关专业的继续教育对象,50,
2012,J51-12-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,阚坚力,010-58900522,"2012-05-15-2012-05-18
		4.0天",广东深圳市,8分,相关专业的继续教育对象,60,
2012,J51-12-13 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国土源性线虫病监测数据利用培训班,陈颖丹,2164739075,"2012-06-18-2012-06-19
		2.0天",吉林长春市,4分,相关专业的继续教育对象,60,
2012,J51-12-14 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,广州管圆线虫病监测与诊断标准研讨班,张仪,021-64377008,"2012-04-11-2012-04-14
		4.0天",广东,8分,相关专业的继续教育对象,30,
2012,J51-12-15 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,基于云技术数据中心的疾控信息网络技术和应用管理培训班,马家奇,010-58900422,"2012-03-06-2012-03-25
		20.0天",北京,10分,相关专业的继续教育对象,44,
2012,J51-12-16 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,第四届媒介生物可持续控制国际论坛,刘起勇,010-58900735,"2012-11-25-2012-11-29
		5.0天",广东深圳市,10分,相关专业的继续教育对象,150,
2012,J51-12-17 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,中国公共卫生信息技术交流,刘冬云,1058900418,"2012-04-10-2012-04-13
		4.0天/期
		
		
查看多期举办时间地点",广东广州市,8分/期,相关专业的继续教育对象,400/期,
2013,J13-13-05 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,全国肿瘤预防与控制实践培训班,乔友林,87788489,"2013-06-14-2013-06-18
		5.0天",北京,10分,相关专业的继续教育对象,30,
2013,J13-13-08 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,全国肿瘤登记技术与方法省级师资高级培训班,陈万青,87787039,"2013-04-15-2013-04-17
		3.0天",北京,6分,相关专业的继续教育对象,120,
2013,J13-13-20 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,肿瘤登记及流行病学培训班,陈万青,87787039,"2013-10-23-2013-10-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2013,J13-13-21 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,肿瘤防治与控烟干预培训班,邹小农,87788656,"2013-10-26-2013-10-28
		3.0天",北京,6分,相关专业的继续教育对象,30,
